Nr,Massnahme,Kategorie,Wirkungsart,Start,Einmaleffekt_EUR,Laufender_Jahreseffekt_EUR,Zeithorizont,Status,Verantwortlich,Risiko,Kommentar
1,Materialgleitklauseln in allen Neuverträgen (HRC-Index Platts),Ertragsverbesserung,Margenschutz,KW22/2026 sofort,0,650000,dauerhaft ab 2027,pilotiert (Stadtwerke-Neuauftrag),GF Petersen / Vertrieb,mittel - Kundenwiderstand möglich,Angebote seit 16.05.2026 nur noch mit Gleitklausel; Stadtwerke akzeptiert; InfraRail in Verhandlung
2,Abbau Lagerbestand Rohmaterial und Halbfabrikate,Liquidität,Einmaliquiditaet,KW23/2026,430000,0,4 Monate,offen (50% erledigt),CFO Hollender / Logistik,mittel - EV-Risiko Stahlhandel,Lagerabbau von 1.64 Mio auf Ziel 1.2 Mio EUR; 50% des Abbaus bereits eingeleitet
3,Investorentranche Nordlicht Turnaround Fonds (Tranche 1),Finanzierung,Brückenliquidität,KW25/2026 (Planannahme),900000,0,einmalig,Term Sheet unterzeichnet (nicht bindend),RA Westphal / CFO,hoch - MAC-Klausel; Sicherheitenabstimmung offen,900 TEUR bei Planannahme; Rechtsverbindlichkeit folgt nach Verhandlungen
4,Investorentranche Nordlicht Turnaround Fonds (Tranche 2),Finanzierung,Betriebsmittel,KW30/2026 (nach Rechtskraft),500000,0,einmalig,abhängig von Tranche 1,RA Westphal / CFO,hoch - bedingt durch Covenant-Erfullung,500 TEUR nach Rechtskraft Planbestaetigung; Covenant-Erfullung Mindestliquidität 150 TEUR
5,Einführung PMO Projektcontrolling (extern 6 Monate),Ertragsverbesserung,EBITDA-Steigerung Projektmarge,KW24/2026,35000 Investition,-35000 Jahreskosten PMO,6 Monate extern; dann intern,beauftragt (PMCC Hamburg),GF Reimers / CFO,niedrig,Monatliche Soll-Ist-Nachkalkulation je Projekt; Eskalatonprotokoll; Ziel EBITDA-Verbesserung 320 TEUR p.a.
6,Faktoring Debitorenfinanzierung (nach Planvollzug),Finanzierung,Dauerliquiditaet,Q4 2026 (nach Planbestaetigung),800000 sofort freie Liquidität,-120000 Jahreskosten Faktoringgebuehr,dauerhaft,Anfrage bei 2 Anbietern läuft,CFO Hollender,mittel - Globalzession muss neu geregelt sein,Ziel: Debitorenlaufzeit von 61 auf 45 Tage; Factoring von SWN- und InfraRail-Forderungen
7,Kurzarbeit (Option - nicht bevorzugt),Personalaufwand,Kostenreduzierung,nicht aktiviert,,200000 möglich bei 20% KUG,-,nur bei starkem Auftragseinbruch,Betriebsrat Metzger / GF Reimers,hoch - Belegschaftsmoral; Zertifizierungsrisiko,Option wenn Umsatz >15% hinter Plan; Betriebsrat vorab informieren; KUG-Antrag BA läuft separat
8,Verzicht Gesellschafterdarlehen Hansa Beteiligungs UG,Entschuldung,Bilanzverbesserung,Planvollzug,950000 Sanierungsgewinn (steuerfrei nach § 3a EStG),60000 Zinsersparnis p.a.,einmalig + dauerhaft,verhandelt; schriftlicher Verzicht ausstehend,RA Westphal / M. Roensberg,mittel - Steuerfreistellung noch offen,Vollverzicht auf 950 TEUR + aufgelaufene Zinsen; Sanierungsgewinnantrag 02.06.2026 gestellt
9,Retention-Bonus Schlüsselperson Rainer Buchholz,Personalstrategie,Risikovermeidung,14.06.2026,24000,-,2 Tranchen je 12000,Gespräch 14.06.2026 geplant,GF Petersen,niedrig bei zeitnaher Einigung,Schlüsselperson DIN EN 1090-2 EXC 3; Verlust gefährdet Bahnauftrag-Segment (28% Umsatz)
10,Kurzfristige Stundung FA Hamburg-Mitte (USt Feb/Mrz),Liquidität,Atempause,05.05.2026,251000 einmalig gestundet,0,18 Monate Ratenzahlung,Antrag gestellt; Bescheid ausstehend,RA Westphal / StB Dresen,mittel - FA kann ablehnen und vollstrecken,Stundungsantrag § 222 AO; bei Ablehnung: StaRUG-Stabilisierung beantragen
11,Claim Management: Nachtrag Wärmeprojekt Stellingen,Ertragsverbesserung,Forderungsrealisierung,sofort,110000 bis 200000 erwartet,0,3-6 Monate,erneute Geltendmachung nach externer Rechtsberatung,RA Westphal,hoch - Auftraggeber hat bereits abgewiesen,Gerichtsverfahren als Option; Vergleich anstreben; erster Nachtrag 340 TEUR auf 110 TEUR reduziert
12,Neue Preisgestaltung Angebote: Risikozuschlag 3% auf Festpreisanteile,Ertragsverbesserung,Margenschutz,sofort,0,280000,dauerhaft,umgesetzt in neuen Angeboten seit 01.06.2026,Vertrieb / GF Petersen,mittel - Marktpreistoleranz prüfen,Alle neuen Angebote seit 01.06.2026 mit 3% Sicherheitszuschlag und Preisgleitklausel
13,Verkauf nicht betriebsnotwendiger Fuhrpark (1 LKW Baujahr 2020),Liquidität,Einmalerloese,KW26/2026,65000 Erloeserwartung,0,einmalig,in Vorbereitung,GF Petersen / CFO,niedrig,Fuhrpark derzeit 3 LKW; 1 LKW entbehrlich nach Projektabschluss Altona; Inseratsentwurf erstellt
14,Energieeffizienz-Audit und Förderantrag (BAFA),Ertragsverbesserung,Kostensenkung,Q3 2026,0,45000 ab 2027,dauerhaft,Antrag BAFA in Vorbereitung,GF Petersen / Technik,niedrig,BAFA-Bundesforderung Energieeffizienz Industrie; Investitionszuschuss und Einsparung Energiekosten
