id,path,filename,type,workstream,clean_room,status,eingestellt_am,seiten,gap_id
1,01_Corporate/,HRB_Auszug_2024.pdf,register,corporate,no,vorhanden,25.11.2024,3,
2,01_Corporate/,Gesellschafterliste_2022.pdf,corporate,corporate,no,veraltet,25.11.2024,2,G-001
3,01_Corporate/,Satzung_Solaris_Industries_AG.pdf,corporate,corporate,no,vorhanden,25.11.2024,18,
4,01_Corporate/,Aufsichtsratsprotokoll_2024_Q3.pdf,corporate,corporate,no,vorhanden,25.11.2024,12,
5,01_Corporate/,UBO_Stamm_I_Gruenwald.pdf,corporate,corporate,no,vorhanden,25.11.2024,4,
6,01_Corporate/,UBO_Stamm_II_Gruenwald_Konrad.pdf,corporate,corporate,no,FEHLT,,0,G-002
7,01_Corporate/,Ausgliederungsvertrag_Service_GmbH_Entwurf.pdf,corporate,corporate,no,FEHLT,,0,G-005
8,02_Financial/,Jahresabschluss_2022_geprueft.pdf,financial,financial,no,vorhanden,25.11.2024,48,
9,02_Financial/,Jahresabschluss_2021_geprueft.pdf,financial,financial,no,vorhanden,25.11.2024,45,
10,02_Financial/,Jahresabschluss_2023_geprueft.pdf,financial,financial,no,FEHLT,,0,G-006
11,02_Financial/,BWA_2024_YTD.pdf,financial,financial,no,vorhanden,26.11.2024,6,
12,02_Financial/,Treasury_Policy.pdf,financial,financial,no,vorhanden,25.11.2024,9,
13,03_Commercial/,Vertrag_Kunde_A_HeadSheet.pdf,commercial,commercial,no,unvollständig,25.11.2024,3,G-003
14,03_Commercial/,Vertrag_Kunde_A_Anlagen.pdf,commercial,commercial,no,FEHLT,,0,G-003
15,03_Commercial/,Vertrag_Kunde_B_komplett.pdf,commercial,commercial,no,vorhanden,25.11.2024,22,
16,03_Commercial/,Vertrag_Kunde_C_komplett.pdf,commercial,commercial,no,vorhanden,25.11.2024,17,
17,03_Commercial/,Kundenliste_Top20.xlsx,commercial,commercial,no,vorhanden,25.11.2024,1,
18,03_Commercial/,SCare_Muster_Servicevertrag.pdf,commercial,commercial,no,vorhanden,26.11.2024,14,
19,04_Tax/,Steuerbescheid_2022.pdf,tax,tax,no,vorhanden,25.11.2024,8,
20,04_Tax/,Steuerbescheid_2023.pdf,tax,tax,no,FEHLT,,0,G-010
21,04_Tax/,Steuerbescheid_2020.pdf,tax,tax,no,FEHLT,,0,G-010
22,04_Tax/,Umwandlung_2024_Vertrag.pdf,tax,tax,no,vorhanden,26.11.2024,34,
23,05_Regulatory/,Exportkontrollklassifizierung_PDS500.pdf,regulatory,regulatory,yes,vorhanden,25.11.2024,22,
24,05_Regulatory/,BAFA_Voranfrage_2023.pdf,regulatory,regulatory,yes,vorhanden,25.11.2024,7,
25,05_Regulatory/,Exportgenehmigung_2022.pdf,regulatory,regulatory,yes,FEHLT,,0,G-008
26,05_Regulatory/,BAFA_Gutachten_DualUse_2024.pdf,regulatory,regulatory,yes,vorhanden,27.11.2024,18,
27,06_IP/,Patentliste_DPMA_Stand_2024.xlsx,ip,ip,no,vorhanden,25.11.2024,1,
28,06_IP/,EP_Patente_Zertifikate.pdf,ip,ip,no,vorhanden,25.11.2024,28,
29,06_IP/,IP_Abtretung_Gruenwald_2018.pdf,ip,ip,no,FEHLT,,0,G-004
30,06_IP/,Markeneintragung_PDS_GreenDrive.pdf,ip,ip,no,vorhanden,25.11.2024,4,
31,06_IP/,Markeneintragung_SCare.pdf,ip,ip,no,vorhanden,25.11.2024,3,
32,07_Employment/,Organigramm_2024.pdf,employment,employment,no,FEHLT,,0,G-018
33,07_Employment/,Betriebsvereinbarung_1_Arbeitszeit.pdf,employment,employment,no,vorhanden,25.11.2024,11,
34,07_Employment/,Betriebsvereinbarung_2_Homeoffice.pdf,employment,employment,no,vorhanden,25.11.2024,8,
35,07_Employment/,Betriebsvereinbarung_3_Entgelt.pdf,employment,employment,no,vorhanden,25.11.2024,14,
36,07_Employment/,Betriebsvereinbarung_4_bis_7.pdf,employment,employment,no,FEHLT,,0,G-012
37,07_Employment/,Anstellungsvertrag_CEO.pdf,employment,employment,no,vorhanden,26.11.2024,19,
38,07_Employment/,Anstellungsvertrag_CFO.pdf,employment,employment,no,vorhanden,26.11.2024,17,
39,08_Real_Estate/,Leasingvertrag_Augsburg_Hauptwerk.pdf,real_estate,real_estate,no,FEHLT,,0,G-009
40,08_Real_Estate/,Leasingvertrag_Gera.pdf,real_estate,real_estate,no,FEHLT,,0,G-009
41,08_Real_Estate/,Grundbuchauszug_Bruenn.pdf,real_estate,real_estate,no,vorhanden,25.11.2024,6,
42,09_Insurance/,Versicherungsnachweis_Betriebshaftpflicht.pdf,insurance,insurance,no,vorhanden,25.11.2024,5,
43,09_Insurance/,Versicherungsnachweis_D_O.pdf,insurance,insurance,no,vorhanden,25.11.2024,4,
