Dokument,Vertragspartner,Datum,Betrag,Laufzeit/Kündigung,Einordnung,Nächster Schritt
Spielvertrag NKL,NKL Nordwestdeutsche Klassenlotterie,2021-09-08,150 bis 300 EUR je Klasse,fortlaufend kündbar,Lotterie mit wiederkehrenden Lastschriften,Wunsch ermitteln und Kündigung prüfen
Gold-Mitgliedschaft,Premium-Kontakte AG,2023-04-15,69.90 EUR monatlich,12 Monate automatische Verlängerung,Kontaktportal bei älterem Betroffenen,Kündigung und Nutzen prüfen
Service-Flatrate Premium,PC-Doktor Fernwartung GmbH,2023-06-22,99.00 EUR monatlich,24 Monate mit Verlängerung,Fernzugriff und IT-Schutzthema,Zugang sperren und Geräte prüfen
Virus-Vollschutz Premium Plus,Digital-Schutz24 GmbH,2024-01-10,119.00 EUR monatlich,24 Monate mit Verlängerung,Sicherheitssoftware über PC-Doktor,Duplizität und Fernwartungsrisiko prüfen
Managed Account,Helvetica Vermögensverwaltung AG,2024-03-05,Mindestanlage 25000 EUR,unbefristet 3 Monate zum Quartal,Auslandsanlage mit Verlustrisiko,Geeignetheit und Rückabwicklung prüfen
Kommanditbeteiligung,Windpark Nordsee Beteiligungs-GmbH & Co. KG,2024-04-18,10000 EUR plus 500 EUR Agio,Mindestlaufzeit bis 2034,Hochrisikoanlage/unternehmerische Beteiligung,Genehmigungs- und Rückabwicklung prüfen
Reservierungsvereinbarung,Horizon Property Development S.L.,2024-09-20,10000 EUR Reservierung bei 285000 EUR Kaufpreis,weitere Raten vorgesehen,Auslandsimmobilie,weitere Zahlung stoppen und Gericht informieren
Rechnung VitalPlus,VitalPlus Gesundheitsprodukte GmbH,2023-02-24,1877.00 EUR netto,Einzelkauf,Seniorenprodukt,Bedarf und Widerruf/Anfechtung prüfen
Rechnung SeniorenWohl,SeniorenWohl Handels GmbH,2024-05-15,1428.00 EUR netto,Einzelkauf nach Informationsveranstaltung,Seniorenvertrieb,Aufklärung und Rückgabe prüfen
Rechnung ThermoVital,ThermoVital Wärmesysteme GmbH,2024-08-08,4329.01 EUR brutto,Einzelkauf,hochpreisiges Gesundheits-/Wärmeprodukt,Bedarf und Lieferung prüfen
Rechnung SafeGold,SafeGold Edelmetallhandel GmbH,2024-06-03,2919.90 EUR,Einzelkauf,Edelmetallanlage,Lieferung und Verwahrung prüfen
Rechnung Diamanten Kontor,Diamanten Kontor Hamburg GmbH,2024-09-15,4719.00 EUR,Einzelkauf,Diamant als Anlage,Echtheit und Rückgabe prüfen
