name,stelle,prioritaet,thema,quelle,erreichbarkeit,themenaffinitaet_h2,problem,empfehlung
MdB Karin Reimers,Finanzausschuss,hoch,Speicherprivilegierung Netzentgelt,OpenGrid Stakeholder Map Cluster 1,direkt erreichbar,hoch,ok,Einladen
Referat III B 2 BMWK Wasserstoff,BMWK Referat,hoch,Planungsbeschleunigung,OpenGrid Stakeholder Map Cluster 2,direkt,hoch,ok,Einladen
MdB Tom Albrecht,Verkehrsausschuss,mittel,Wasserstofftransport Pipelines,OpenGrid Stakeholder Map Cluster 1,direkt,mittel,nicht Mandat HansaH2 (Pipelines),trotzdem informativ
Fraktion AG Wirtschaft,Arbeitsgruppe,mittel,Speicher und Importterminals,OpenGrid Stakeholder Map Cluster 1,vermittelt,mittel,Importterminals nicht in Auftrag,nur Speicher ansprechen
Fraktion AG Energie,Arbeitsgruppe,hoch,Elektrolyseprivileg,OpenGrid Stakeholder Map Cluster 1,direkt,hoch,ok,Einladen
MdB Maxine Cordova,Energie-AG,hoch,Elektrolyse Pilotstandorte,OpenGrid Stakeholder Map Cluster 1,direkt,hoch,ok,Einladen
MdB Aisha Karim,Energie-AG,hoch,Pilotstandorte Norddeutschland,OpenGrid Stakeholder Map Cluster 1,direkt,hoch,ok,Einladen
BMF Referat Energie,BMF Referat,hoch,Netzentgeltprivileg,OpenGrid Stakeholder Map Cluster 2,vermittelt,hoch,ok,Einladen
BMWK Staatssekretariat,BMWK Leitung,hoch,Gesamtthema WBG,OpenGrid Stakeholder Map Cluster 2,direkt,hoch,ok,Einladen
Büro MdB Pauli,Mitarbeiter Energie-AG,mittel,Vorbereitung,OpenGrid Stakeholder Map Cluster 1,direkt,mittel,ok,Hintergrundgespräch
Fraktion Umwelt AG,Arbeitsgruppe,mittel,Moorschutz und Wasserstoff,OpenGrid Stakeholder Map Cluster 3,vermittelt,niedrig,unklarer Bezug,nicht prioritaer
Niedersachsen LV Berlin,Landesvertretung Bund,mittel,Pilotstandorte Norddeutschland,OpenGrid Stakeholder Map Cluster 4,direkt,hoch,ok,Termin
Hamburg LV Berlin,Landesvertretung Bund,mittel,Speicherstandorte Hamburg-Region,OpenGrid Stakeholder Map Cluster 4,direkt,mittel,ok,Termin
SoltauStrom AG Pressestelle,Konsortialmitglied,niedrig,intern,OpenGrid Stakeholder Map Cluster 5,intern,intern,nicht externer Stakeholder,nicht relevant
KuestenH2 GmbH Geschäftsführung,Konsortialmitglied,niedrig,intern,OpenGrid Stakeholder Map Cluster 5,intern,intern,nicht externer Stakeholder,nicht relevant
