datum,ereignis,beleg,risiko,notiz
2026-02-08,Erstgespräch in der Werkstatt,Notiz und Holzmuster,Vertragsanbahnung,handschriftliches Vor-Angebot von Karl Braun
2026-02-12,Angebot und Beauftragung,Angebot B-2026-0217 und Auftragsbestätigung E-Mail,Vertragsschluss klären,handschriftlicher Zusatz zur Stabilität auf dem Ausdruck
2026-02-13,Anzahlung 620 EUR überwiesen,Kontoauszug Sparkasse Hannover,Beweis Zahlung,Verwendungszweck passt zum Angebot
2026-03-19,E-Mail Tischlerei zur Lieferzeit-Verschiebung,E-Mail Matthias Braun,Verzug-Beweis,Zusage erste Aprilwoche spätestens
2026-04-18,Lieferung und Aufbau,Lieferzettel L-2026-0231 (Kundenkopie),Mangelanzeige bei Lieferung,handschriftlicher Vorbehalt auf Kundenkopie nachträglich
2026-04-19,Erste Fotos und Video an Tischlerei,Messenger-Anhänge,Beweis erste Mangelanzeige,Antwort Tischlerei Massivholz arbeitet
2026-04-20,Förmliche Mängelanzeige per E-Mail,E-Mail Frau Hohenstaufen,Beweis schriftliche Mängelanzeige,Eingangsbestätigung erfolgt
2026-04-21,Wasserwaagen-Foto Boden,Foto,Beweis Boden eben,widerlegt Begründung der Tischlerei
2026-04-24,Bitte um Nachbesserungstermin,Messenger,Nacherfüllungsverlangen unbeantwortet,
2026-04-28,Erinnerung an Termin,Messenger,Beweis fortgesetzter Verzug,
2026-05-02,Frist zur Nachbesserung bis 12.05.2026 gesetzt,Messenger und E-Mail,Rücktritt vorbereiten,Frist angemessen
2026-05-05,Baumarkt-Tisch gekauft 89 EUR,Quittung,Schaden Ersatztisch,Beleg ist Originalkassenzettel
2026-05-09,Letzte Erinnerung an Frist,Messenger,Nachbesserung verweigert,Antwort Karl Braun kein Mangel
2026-05-12,Rücktritt erklärt und Rückzahlung verlangt,Messenger,Rücktrittserklärung dokumentiert,Tischlerei lehnt Rücknahme ab
2026-05-14,Mahnung über 632 EUR,Mahnung der Tischlerei,Inkassoandrohung,erste Mahnung
2026-05-19,Voreinschätzung Tischlermeister Hentschel,handschriftliche Notiz,Beweis-Stützung,privat eingeholt nicht offiziell
2026-05-25,Zweite Mahnung über 683.38 EUR,Mahnung der Tischlerei,Verzugszinsen und Bearbeitungspauschale,
2026-05-26,Antwortbrief Frau Hohenstaufen Entwurf,Briefentwurf,noch nicht abgeschickt,Frist zur Rückzahlung bis 05.06.2026
2026-05-27,Selbstvertreter-Check gestartet,Erstnotiz,Klageziel unklar,Antrag und Streitwert schärfen
2026-06-04,Termin Verbraucherzentrale geplant,Terminbestätigung,Beratung vor Klage,Beratungsstelle Hannover-Mitte
