Datum,Person,Rang,Workstream,Dauer,Stundensatz_EUR,Betrag_EUR,Tätigkeit,Deliverable,Abrechenbar,Bemerkung
2026-05-14,Partner A,Partner,Structure,1.8,650,1170.00,Strukturcall zu Share Deal Asset Deal und Carve-out,Structure Options Memo,Ja,
2026-05-15,Associate B,Associate,DD,4.6,280,1288.00,Review der Top-Kundenverträge mit Change-of-Control-Fokus,Commercial DD Grid,Ja,
2026-05-16,Associate C,Associate,Regulatory,2.9,280,812.00,Erstabgleich Fusionskontrolle und AWV,Regulatory Map,Ja,
2026-05-17,Partner A,Partner,SPA,2.2,650,1430.00,SPA Key Issues und Markup-Strategie,Key Issues List,Ja,
2026-05-18,Associate B,Associate,Closing,3.4,280,952.00,CP Register und Closing Deliverables,CP Register,Ja,
2026-05-19,Counsel B,Counsel,WI,1.5,420,630.00,Underwriting-Pack-Vorbereitung und Abstimmung BlueSky Re,Underwriting Pack Outline,Ja,
2026-05-19,Associate C,Associate,Regulatory,3.2,280,896.00,AWV-Sektor-Screening und FDI-Analyse,Regulatory Map Update,Ja,
2026-05-20,Partner A,Partner,MAR,1.2,650,780.00,MAR-Praevantiv-Memo Nordstern SE Aufschubberatung,MAR Memo,Ja,
2026-05-20,Counsel B,Counsel,Closing,1.8,420,756.00,Ordinary-Course-Monitor OC-E-001 und Consent-Prozess,OCM Update,Ja,
2026-05-20,Associate B,Associate,PMI,2.5,280,700.00,PMI-100-Tage-Plan Ersterstellung,PMI Plan Entwurf,Ja,
2026-05-20,Associate C,Associate,Restructuring,2.1,280,588.00,StaRUG-Memo Delta Service GmbH Erstanalyse,StaRUG Shadow Case Memo,Ja,
2026-05-20,Counsel D,Counsel,Restructuring,1.5,420,630.00,Insolvenzreife-Check Delta Service GmbH,Insolvenzreife Check,Ja,Restrukturierung-Gruppe separat abzurechnen
