datum,person,rang,workstream,narrative,stunden,stundensatz_eur,betrag_eur,deliverable
2026-05-14,Partner A,Partner,Structure,Strukturierungscall Share Deal vs. Asset Deal und Carve-out-Varianten,1.8,650,1170.00,Structure Options Memo
2026-05-15,Associate B,Associate,DD,Systematischer Review der Top-20-Kundenverträge mit Fokus Change-of-Control-Klauseln und Consent-Erfordernissen,4.6,280,1288.00,Commercial DD Grid
2026-05-16,Associate C,Associate,Regulatory,Erstabgleich Fusionskontrollschwellen und AWV-Prüfpflichten auf Basis Umsatzzahlen,2.9,280,812.00,Regulatory Map Entwurf
2026-05-17,Partner A,Partner,SPA,Erarbeitung Key Issues List für SPA-Markup-Call; Abstimmung mit Eagle Counsel zu Garantiekatalog,2.2,650,1430.00,Key Issues List
2026-05-18,Associate B,Associate,Closing,Aufbau CP-Register und Closing-Deliverables-Struktur; Abstimmung mit Regulatory Counsel,3.4,280,952.00,CP Register
2026-05-19,Counsel B,Counsel,W&I,Vorbereitung Underwriting-Pack-Struktur; Abstimmung mit BlueSky Re zu Scope,1.5,420,630.00,Underwriting Pack Outline
2026-05-19,Associate C,Associate,Regulatory,Recherche AWV-Sektor-Screening und FDI-Analyse für BMWK-Vorgespräch,3.2,280,896.00,Regulatory Map Update
2026-05-20,Partner A,Partner,MAR,Kapitalmarktrechtliche Pruefung MAR-Relevanz für Nordstern SE; Aufschubberatung,1.2,650,780.00,MAR Praentiv-Memo
2026-05-20,Counsel B,Counsel,Closing,Ordinary-Course-Monitor Ereignis OC-E-001 aufnehmen und Consent-Prozess einleiten,1.8,420,756.00,OCM Update
2026-05-20,Associate B,Associate,PMI,Erste Strukturierung PMI-100-Tage-Plan auf Basis Intake-Gespräche mit Eagle Operations,2.5,280,700.00,PMI Plan Entwurf
